Timestamp_PC (s),DeltaT_uC (ms),DeltaT_uC (s),Acel_X (m/s²),Acel_Y (m/s²),Acel_Z (m/s²)
0.014,12,0.012,0.0,0.019154,9.720458
0.017,11,0.011,0.02873,0.038308,9.710881
0.017,11,0.011,0.02873,0.038308,9.710881
0.023,11,0.011,0.02873,0.028731,9.758765
0.024,12,0.012,0.02873,0.028731,9.758765
0.024,11,0.011,0.0,0.038308,9.730035
0.027,11,0.011,0.0,0.038308,9.730035
0.029,12,0.012,0.009576,0.019154,9.758765
0.031,11,0.011,0.009576,0.009577,9.739612
0.032,11,0.011,0.009576,0.009577,9.739612
0.034,11,0.011,0.019153,0.047885,9.749189
0.036,11,0.011,0.019153,0.038308,9.720458
0.038,12,0.012,0.009576,0.009576,9.739612
0.039,11,0.011,0.009576,0.009576,9.739612
0.040,11,0.011,0.0,0.009577,9.739612
0.040,12,0.012,0.0,0.009577,9.739612
0.133,11,0.011,0.02873,0.009576,9.768342
0.140,11,0.011,0.02873,0.009576,9.768342
0.140,12,0.012,0.009577,0.028731,9.730035
0.151,11,0.011,0.02873,0.028731,9.739612
0.156,11,0.011,0.02873,0.028731,9.739612
0.158,11,0.011,0.009577,0.057461,9.720458
0.165,12,0.012,0.009577,0.057461,9.720458
0.169,11,0.011,0.02873,0.009576,9.739612
0.173,11,0.011,0.02873,0.009576,9.739612
0.173,12,0.012,0.019153,0.019154,9.730035
0.183,11,0.011,0.009576,0.028731,9.739612
0.187,11,0.011,0.009576,0.028731,9.739612
0.190,12,0.012,0.019153,0.019154,9.739612
0.190,11,0.011,0.019153,0.019154,9.739612
0.201,11,0.011,0.02873,0.028731,9.749189
0.307,11,0.011,0.02873,0.028731,9.749189
0.312,12,0.012,0.009576,0.019154,9.739612
0.315,11,0.011,0.009576,0.019154,9.739612
0.321,11,0.011,0.0,0.019154,9.720458
0.325,12,0.012,0.009576,0.028731,9.739612
0.330,11,0.011,0.009576,0.028731,9.739612
0.334,11,0.011,0.047884,0.009577,9.749189
0.339,12,0.012,0.047884,0.009577,9.749189
0.340,11,0.011,0.038307,0.019154,9.768342
0.347,11,0.011,0.038307,0.019154,9.768342
0.353,11,0.011,0.009576,0.0,9.758765
0.356,12,0.012,0.047884,0.009577,9.739612
0.359,11,0.011,0.047884,0.009577,9.739612
0.359,11,0.011,0.009577,0.028731,9.749189
0.370,12,0.012,0.009577,0.028731,9.749189
0.473,11,0.011,0.019153,0.028731,9.739612
0.473,11,0.011,0.019153,0.028731,9.739612
0.486,12,0.012,0.02873,0.038308,9.739612
0.490,11,0.011,0.019153,0.038308,9.768342
0.490,11,0.011,0.019153,0.038308,9.768342
